,degree,eigenvector,closeness,pagerank,betweenness,hubscore,authorities,radiality,clusterrank,dmnc,lobby,leverage,subgraph,topologicalcoeff,eccentricity,geodkpath,stress,informationcent,localbridge,,,,,,
115,0.147058824,0.022706289,0.614371682,0.122886925,0.051916846,0.00327721,0.00136593,0.790234274,0,0.119047619,0.473684211,0.688695117,7.58E-07,0.05255809,0.25,0.287848141,0.001044078,0.375764326,0.000194395,,,,,,
116,0.009803922,0.00508017,0.399526793,0.012492361,0.001945564,0.000574615,3.17E-05,0.611109806,0,0.007936508,0.052631579,0.1138143,5.65E-07,0.494283975,0.5,0.057880815,0.134274954,0.828151446,0.038240222,,,,,,
118,0.225490196,0.06111703,0.686024999,0.35796418,0.226506041,0.005537129,0.002441356,0.837230068,0,0.182539683,0.526315789,0.777029152,2.93E-06,0.031676058,0.25,0.409677921,0,0.183577242,7.31E-05,,,,,,
119,0.098039216,0.018093364,0.555037261,0.01189402,0.002907684,0.009673129,0.000166824,0.747468102,0,0.079365079,0.315789474,0.619560783,1.99E-06,0.085459778,0.5,0.198381827,0.058955353,0.781725732,0.000512697,,,,,,
120,0.215686275,0.082812632,0.710416922,0.161995774,0.181803739,0.057219284,0.007098505,0.85306765,0,0.174603175,0.578947368,0.69020805,8.02E-06,0.033355107,0.25,0.447175976,0,0.181374121,0.000149194,,,,,,
121,0.205882353,0.056867663,0.677165229,0.338657947,0.388030183,0.003258143,0.003808871,0.831943041,0,0.166666667,0.631578947,0.704172283,2.05E-05,0.036548943,0.25,0.390695503,0,0.181374121,0.000203217,,,,,,
122,0.068627451,0.008319152,0.498699295,0.031746309,0.008804224,0.000911138,0.000490818,0.701623705,0,0.055555556,0.210526316,0.6113879,0,0.117003765,0.25,0.131476583,0,0.786619293,0.000514712,,,,,,
123,0.117647059,0.158957606,0.687632233,0.039523242,0.083436004,0.394182797,0.005005292,0.838874921,0,0.095238095,0.526315789,0.469971077,5.10E-06,0.072997123,0.25,0.406254862,0,0.152488283,0.000292368,,,,,,
124,0.18627451,0.037812387,0.650160794,0.122615298,0.181743602,0.002477925,0.013379441,0.814531099,0,0.150793651,0.578947368,0.712330048,6.36E-06,0.03986895,0.25,0.344328614,0.016528686,0.824779353,0.000146289,,,,,,
125,0.196078431,0.043439428,0.64472018,0.250700441,0.216500316,0.003483883,0.001898564,0.809902014,0.076335878,0.158730159,0.578947368,0.735770147,1.96E-05,0.039080816,0.25,0.339349619,0,0.152488283,0.000133955,,,,,,
126,0.039215686,0.011471664,0.487413534,0.020750388,0.009059964,0.000575754,0.000204873,0.692389031,0.526717557,0.031746032,0.210526316,0.330981772,3.67E-06,0.20434012,0.25,0.123230123,0,0.187656894,0.003778912,,,,,,
127,0.5,0.391728589,0.813023116,0.639492215,0.228163615,0.026398107,0.296850942,0.910966469,0,0.484126984,0.789473684,0.877495468,1.53E-07,0.015091517,0,0.659094445,0.069024565,0.836518472,2.83E-05,,,,,,
128,0.274509804,0.105228619,0.722786687,0.26704899,0.204532588,0.011393547,0.053554338,0.859694057,0,0.23015873,0.684210526,0.758719403,3.21E-06,0.029350601,0.25,0.487319122,0.001387185,0.377988161,9.25E-05,,,,,,
129,0.333333333,0.212158494,0.750188389,0.378823054,0.486563979,0.003989489,0.156212303,0.876730033,0,0.301587302,0.684210526,0.810551371,3.44E-06,0.026117587,0.25,0.547689435,0.011403692,0.37241057,5.66E-05,,,,,,
130,0.294117647,0.235020172,0.734129374,0.301699628,0.326989885,0.13815007,0.137244337,0.866625937,0,0.261904762,0.631578947,0.776966356,2.66E-06,0.028434473,0.25,0.506457134,0.074961736,0.711401099,7.14E-05,,,,,,
131,0.421568627,0.267971559,0.7745682,0.494888599,0.285065997,0.004088058,0.192871453,0.889536386,0,0.412698413,0.684210526,0.853468725,3.01E-06,0.019606358,0.25,0.585965458,0,0.187656894,3.53E-05,,,,,,
132,0.31372549,0.218591191,0.694952595,0.255486498,0.233247815,0.00695659,0.186535994,0.841201212,0,0.277777778,0.631578947,0.808480039,6.80E-06,0.031879536,0.25,0.43301696,0.030086941,0.585758969,7.98E-05,,,,,,
133,0.333333333,0.225240868,0.742731163,0.332631944,0.453280305,0.003630807,0.166791767,0.871607491,0,0.301587302,0.684210526,0.802348108,6.88E-06,0.026222995,0.25,0.526684301,0,0.763465063,6.10E-05,,,,,,
136,0.147058824,0.052571849,0.664146272,0.084445812,0.087662334,0.088593959,0.001185468,0.824846676,0,0.119047619,0.578947368,0.600972166,1.11E-05,0.053424387,0.25,0.368912401,0.027414292,0.806310104,0.000364186,,,,,,
137,0.225490196,0.073604634,0.700972152,0.180227025,0.214682612,0.065451352,0.005522183,0.846558733,0.091603053,0.182539683,0.631578947,0.709268721,1.71E-06,0.032996673,0.25,0.438773923,0,0.188566315,0.0001904,,,,,,
141,0.156862745,0.048639072,0.619192172,0.100478818,0.130973383,0.023033365,0.004951644,0.794040933,0,0.126984127,0.526315789,0.675001803,7.11E-06,0.049083884,0.25,0.283802707,0,0.187341674,0.000266792,,,,,,
144,0.098039216,0.019458,0.558997814,0.012902868,0.03894457,0.008055232,0.000112348,0.750123364,0.07480916,0.079365079,0.368421053,0.625501939,1.25E-05,0.08562456,0.25,0.201338105,0.064730722,0.778777239,0.000333138,,,,,,
147,0.450980392,0.395571707,0.795786835,0.528683754,0.301541332,0.00176828,0.3229613,0.90156731,0,0.436507937,0.684210526,0.867556218,9.93E-07,0.018636754,0,0.629687257,0,0.185914425,2.64E-05,,,,,,
148,0.264705882,0.161033806,0.725236901,0.335919683,0.645017457,0.00429816,0.083401194,0.861174425,0,0.222222222,0.631578947,0.742879124,6.44E-06,0.031533619,0.25,0.493387272,0.003596034,0.801224615,0.000119656,,,,,,
150,0.147058824,0.042429906,0.635522491,0.091107999,0.081046769,0.031850147,0.004162696,0.805954367,0,0.119047619,0.526315789,0.652767188,5.38E-06,0.053235659,0,0.322234324,0.10764069,0.774504707,0.000237229,,,,,,
153,0.098039216,0.019268987,0.514351354,0.020551469,0.048302542,0.002718953,0.001873087,0.713443147,0,0.079365079,0.315789474,0.694164523,6.61E-06,0.084243954,0.25,0.154037654,0.00149681,0.377564352,0.00026874,,,,,,
154,0.117647059,0.024678869,0.607573337,0.045319196,0.107254681,0.009615856,0.002136196,0.786122142,0.180152672,0.095238095,0.473684211,0.590688867,9.45E-06,0.068880171,0.25,0.275711841,0.063804702,0.781030172,0.000449993,,,,,,
157,0.147058824,0.045357021,0.637708668,0.103221554,0.196447171,0.004424165,0.001255263,0.806353831,0,0.119047619,0.578947368,0.621936931,5.10E-06,0.053650861,0.25,0.32207873,0.042216903,0.751361422,0.000291562,,,,,,
158,0.088235294,0.126973089,0.656513425,0.038695447,0.043760518,0.277585255,0.004222038,0.819724135,0,0.071428571,0.473684211,0.289147822,1.87E-05,0.098556377,0.25,0.346506924,0,0.379042036,0.002526478,,,,,,
162,0.166666667,0.035749057,0.662518448,0.136819777,0.193477214,0.004657745,0.0036766,0.823413305,0,0.134920635,0.578947368,0.646953372,1.48E-05,0.045723265,0.25,0.361599502,0.050338153,0.057450876,0.000235731,,,,,,
165,0.558823529,0.487510388,0.836490909,0.697366666,0.721354003,0.005123191,0.406252395,0.922879902,0,0.53968254,0.789473684,0.886508805,6.83E-06,0.013091828,0,0.709506768,6.96E-05,0.323291992,3.02E-05,,,,,,
166,0.107843137,0.051215884,0.592125967,0.055369911,0.060503046,0.003277623,0.012194105,0.774725662,0,0.087301587,0.421052632,0.562313579,1.35E-06,0.078707148,0.25,0.251906021,0.012469906,0.71445302,0.000387591,,,,,,
167,0.303921569,0.139048814,0.797708975,0.402518636,0.425030767,0.006447835,0.040905923,0.903071175,0,0.26984127,0.684210526,0.752539969,9.10E-06,0.022123163,0.25,0.633577097,0.098085348,0.760329258,8.95E-05,,,,,,
168,0.352941176,0.296186859,0.729094505,0.324995367,0.15425685,0.004347704,0.263119409,0.863077755,0.061068702,0.333333333,0.684210526,0.826811335,2.62E-06,0.027961244,0.25,0.497743893,0.011028962,0.641883117,6.34E-05,,,,,,
170,0.264705882,0.177720814,0.711170275,0.23862933,0.360912119,0.001894693,0.119499905,0.852879667,0,0.222222222,0.684210526,0.74773139,7.38E-06,0.032494005,0.25,0.463046522,0.015762361,0.779877395,0.000105123,,,,,,
171,0.558823529,0.465474402,0.845240462,0.793947107,0.553705881,0.028155059,0.350281988,0.928119933,0,0.53968254,0.842105263,0.884718321,4.64E-06,0.012827503,0,0.725999689,0,0.181907473,2.78E-05,,,,,,
175,0.107843137,0.040506669,0.620910834,0.131382445,0.046027261,0.036596078,7.82E-05,0.796014757,0.247328244,0.087301587,0.473684211,0.508526514,4.48E-06,0.079261661,0.25,0.296405788,0,0.181907473,0.000762239,,,,,,
176,0.166666667,0.052859613,0.669781885,0.191807678,0.145179751,0.007331804,0.00070955,0.828230373,0.140458015,0.134920635,0.578947368,0.625524242,1.09E-05,0.04956124,0.25,0.383538198,0.004843025,0.793296836,0.000293581,,,,,,
177,0.068627451,0.009766662,0.516395824,0.154225071,0.000101731,0.000987829,0.001024994,0.716568367,0,0.055555556,0.368421053,0.481838047,0,0.118118659,0.5,0.145946787,0.017538506,0.664223868,0.001123287,,,,,,
180,0.18627451,0.086382384,0.689353318,0.196059071,0.157492595,0.009678271,0.004615015,0.840566769,0.096183206,0.150793651,0.684210526,0.642044335,6.57E-06,0.046446475,0.25,0.42134744,0.19205921,0.877573742,0.000193934,,,,,,
181,0.107843137,0.009605955,0.523340721,0.021457922,0.037520315,0.002900016,0.000174257,0.72145593,0,0.087301587,0.315789474,0.701657752,1.11E-05,0.074837153,0.25,0.151548156,0,0.490212791,0.000220134,,,,,,
183,0.068627451,0.022622769,0.559625205,0.104019332,0.00978618,0.001257983,0.012961467,0.751674225,0,0.055555556,0.368421053,0.384111626,6.96E-07,0.12085015,0.25,0.204449977,0.031771907,0.82489718,0.002142928,,,,,,
184,0.117647059,0.030660765,0.590450908,0.104542319,0.084992877,0.008118028,0.000523227,0.773503771,0,0.095238095,0.421052632,0.626318703,2.14E-06,0.068801742,0.25,0.252839583,0.00466014,0.806779792,0.000371462,,,,,,
185,0.215686275,0.072679529,0.69739312,0.487227683,0.14427197,0.003462182,0.014755231,0.844561412,0,0.174603175,0.631578947,0.669471619,2.67E-07,0.042282753,0.25,0.432861366,0.053549443,0.736764851,0.000210594,,,,,,
187,0.196078431,0.250531145,0.72751755,0.169288505,0.222009721,0.483580162,0.03686627,0.862325822,0.119083969,0.158730159,0.789473684,0.532459239,8.54E-06,0.053374241,0.25,0.489653026,0,0.37006264,0.000427321,,,,,,
189,0.166666667,0.067382928,0.642388662,0.116950887,0.196183206,0.018362568,0.034567783,0.809761026,0,0.134920635,0.578947368,0.680606588,1.24E-05,0.048403419,0.25,0.335148592,0.008325744,0.788030188,0.000180559,,,,,,
190,0.254901961,0.083408774,0.743575354,0.221889461,0.479801307,0.008001503,0.027235347,0.873064361,0,0.214285714,0.631578947,0.726509385,3.19E-06,0.029492945,0.25,0.534775167,0,0.174934017,0.000145378,,,,,,
192,0.196078431,0.051259115,0.675528927,0.164166274,0.23142032,0.002587283,0.013601944,0.831543577,0,0.158730159,0.578947368,0.701164332,1.04E-05,0.039065291,0.25,0.398008402,0,0.174934017,0.000193977,,,,,,
193,0.049019608,0.02125618,0.505084628,0.062149344,0.000685382,0.000141172,0.011534778,0.707380689,0,0.03968254,0.263157895,0.34971831,0,0.187047895,0.5,0.141590166,0,0.174934017,0.003245866,,,,,,
194,0.117647059,0.021580347,0.609335602,0.032484927,0.015747106,0.008967966,0.001153937,0.787555514,0,0.095238095,0.473684211,0.58172626,4.43E-06,0.070097479,0.25,0.273222343,0,0.174934017,0.000329405,,,,,,
195,0.137254902,0.027408968,0.60981644,0.051719668,0.099818524,0.002690112,0.008959467,0.787696501,0,0.111111111,0.526315789,0.630360841,5.53E-06,0.056410426,0,0.272599969,0,0.568724991,0.000342093,,,,,,
198,0.137254902,0.057248616,0.662977484,0.085884927,0.179162014,0.079289472,0.000757944,0.824071246,0,0.111111111,0.578947368,0.556083361,9.32E-06,0.059963153,0.25,0.368601214,0,0.570471169,0.000482183,,,,,,
200,0.284313725,0.072522446,0.757499062,0.422839514,0.276740739,0.002003683,0.019696131,0.880959654,0,0.246031746,0.631578947,0.773146798,4.56E-06,0.024201735,0,0.546911467,0,0.187258767,0.00010191,,,,,,
201,0.117647059,0.016409269,0.568644851,0.039461046,0.028955686,0.010414146,0.000360618,0.757572197,0,0.095238095,0.421052632,0.650362418,4.59E-07,0.067018768,0.25,0.209895752,0,0.187258767,0.000298105,,,,,,
206,0.156862745,0.031939742,0.641620775,0.072170739,0.062081686,0.013160489,0.002054988,0.810066499,0,0.126984127,0.526315789,0.642797535,7.13E-07,0.050455751,0.25,0.324101447,0,0.186907775,0.000322929,,,,,,
207,0.098039216,0.011687789,0.525876929,0.013366354,0.043438578,0.002287905,3.37E-05,0.723735226,0,0.079365079,0.315789474,0.649592848,1.52E-06,0.080516317,0.25,0.158705461,0,0.186907775,0.000333518,,,,,,
213,0.166666667,0.184151967,0.715279803,0.149681957,0.170474939,0.364523752,0.000770401,0.85598139,0,0.134920635,0.631578947,0.541381415,3.50E-06,0.053866447,0.25,0.454488875,0,0.184855973,0.000251715,,,,,,
218,0.088235294,0.017122368,0.532640149,0.019304573,0.044367387,0.00502111,0.001561624,0.729539206,0,0.071428571,0.315789474,0.654206967,1.46E-06,0.093601277,0.5,0.173331259,0.013995176,0.33620115,0.000287675,,,,,,
220,0.343137255,0.393727328,0.733376021,0.53675073,0.169200696,0.004591941,0.320489223,0.864652114,0,0.325396825,0.684210526,0.829935108,5.74E-07,0.026407331,0.25,0.505056792,0,0.166641499,3.70E-05,,,,,,
221,0.078431373,0.026338357,0.611978393,0.099375146,0.001323982,8.11E-05,0.00590933,0.791127194,0,0.063492063,0.421052632,0.411911159,0,0.102336712,0.25,0.274000311,0,0.166641499,0.00157949,,,,,,
223,0.225490196,0.067844438,0.720378865,0.267217118,0.530833559,0.010151227,0.012581847,0.859294593,0,0.182539683,0.684210526,0.673281822,7.28E-06,0.034190649,0.25,0.473626887,0,0.166641499,0.00020797,,,,,,
227,0.098039216,0.107948685,0.620058165,0.035449855,0.030553248,0.189394729,0.000217221,0.793899946,0.58778626,0.079365079,0.526315789,0.350044108,4.49E-06,0.117992903,0.25,0.288470515,0.106774753,0.832256097,0.001602011,,,,,,
229,0.12745098,0.023401841,0.609281099,0.062179899,0.026339414,0.007440153,0.000624766,0.788189957,0,0.103174603,0.421052632,0.663359562,3.88E-06,0.061340432,0.25,0.276334215,0,0.376616045,0.000276653,,,,,,
231,0.068627451,0.009666532,0.475317495,0.019575463,0.029583504,0.003942225,0.000169123,0.680663581,0,0.055555556,0.263157895,0.630873544,1.44E-06,0.114996955,0.5,0.108293138,0,0.166641499,0.000402101,,,,,,
234,0.166666667,0.02845073,0.604698,0.089982936,0.040080556,0.013675202,0.003502372,0.783842846,0,0.134920635,0.526315789,0.744740496,3.80E-06,0.046619237,0.25,0.259685701,0,0.180683079,0.000147862,,,,,,
